category_list,market,funding_total_usd,status,country_code,funding_rounds,founded_at,first_funding_at,last_funding_at,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,product_crowdfunding,market_missing,category_missing,country_missing,Startup_age,days_to_funding,funding_duration_days,funding_per_round,single_funding_event,funding_stage_reached,has_institutional_vc
|Entertainment|Politics|Social Media|News|, News ,1750000.0,acquired,USA,1.0,2012-06-01,2012-06-30,2012-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,29.0,0.0,1750000.0,1,1,0
|Games|, Games ,4000000.0,operating,USA,2.0,,2010-06-04,2010-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,111.0,2000000.0,0,0,1
|Publishing|Education|, Publishing ,40000.0,operating,EST,1.0,2012-10-26,2012-08-09,2012-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,0.0,0.0,40000.0,1,1,0
|Electronics|Guides|Coffee|Restaurants|Music|iPhone|Apps|Mobile|iOS|E-Commerce|, Electronics ,1500000.0,operating,GBR,1.0,2011-04-01,2011-04-01,2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,0.0,0.0,1500000.0,1,1,0
|Tourism|Entertainment|Games|, Tourism ,60000.0,operating,USA,2.0,2014-01-01,2014-08-17,2014-09-26,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,12.0,228.0,40.0,30000.0,0,0,0
|Software|, Software ,7000000.0,,USA,1.0,2011-10-10,2013-05-31,2013-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,599.0,0.0,7000000.0,1,3,1
|Advertising|, Advertising ,4912393.0,closed,ARG,1.0,,2007-01-16,2007-01-16,0.0,4912393.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,4912393.0,1,0,0
|Curated Web|, Curated Web ,2000000.0,operating,missing,1.0,2007-01-01,2008-03-19,2008-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,19.0,443.0,0.0,2000000.0,1,2,1
|Software|, Software ,,operating,USA,1.0,2010-01-01,2014-07-24,2014-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,1665.0,0.0,,1,0,0
|Games|, Games ,41250.0,operating,HKG,1.0,,2014-07-01,2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,41250.0,1,1,0
|E-Commerce|, E-Commerce ,40000.0,operating,CHL,1.0,2012-01-01,2013-02-18,2013-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,414.0,0.0,40000.0,1,1,0
|Entertainment|Games|Software|, Software ,,operating,USA,1.0,,2013-04-21,2013-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,,1,0,0
|Health and Wellness|, Health and Wellness ,,operating,USA,1.0,1986-01-01,2010-08-19,2010-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,40.0,8996.0,0.0,,1,0,0
|Health and Wellness|, Health and Wellness ,1750000.0,operating,USA,1.0,1984-01-01,2011-03-02,2011-03-02,0.0,0.0,1750000.0,0.0,0.0,0.0,0.0,0,0,0,42.0,9922.0,0.0,1750000.0,1,0,0
|Real Estate|, Real Estate ,,operating,USA,1.0,2013-12-07,2014-01-22,2014-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,13.0,46.0,0.0,,1,0,0
|Education|, Education ,4400000.0,operating,GBR,2.0,2013-01-01,2013-01-01,2014-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,13.0,0.0,646.0,2200000.0,0,2,1
|E-Commerce|, E-Commerce ,2050000.0,operating,USA,4.0,2001-01-01,2009-06-18,2011-12-28,0.0,0.0,0.0,2050000.0,0.0,0.0,0.0,0,0,0,25.0,3090.0,923.0,512500.0,0,0,0
|Search|, Search ,40000.0,operating,USA,1.0,2008-01-01,2011-08-23,2011-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18.0,1330.0,0.0,40000.0,1,1,0
|Marketplaces|Art|E-Commerce|, Marketplaces ,500000.0,acquired,missing,1.0,2009-01-01,2009-05-15,2009-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,17.0,134.0,0.0,500000.0,1,1,0
|Curated Web|, Curated Web ,,operating,DEU,1.0,,2011-09-16,2011-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,,1,0,0
|Curated Web|, Curated Web ,2535000.0,acquired,USA,2.0,2010-07-01,2010-01-01,2011-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,0.0,411.0,1267500.0,0,2,1
|Curated Web|, Curated Web ,4962651.0,operating,USA,6.0,2008-01-01,2009-10-14,2014-09-19,0.0,0.0,0.0,1147879.0,0.0,0.0,0.0,0,0,0,18.0,652.0,1801.0,827108.5,0,0,1
|Local Businesses|Restaurants|, Restaurants ,4059079.0,operating,FRA,4.0,2010-11-20,2012-12-15,2013-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,756.0,333.0,1014769.75,0,2,1
|Media|Games|, Media ,10000000.0,operating,CHN,3.0,2009-01-01,2011-01-01,2014-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17.0,730.0,1307.0,3333333.3333333335,0,3,1
|Hospitality|, Hospitality ,3000000.0,operating,missing,2.0,,2008-01-07,2010-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,,,949.0,1500000.0,0,2,1
|Education|, Education ,4500000.0,operating,CHN,2.0,,2006-01-01,2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,243.0,2250000.0,0,0,1
|Health Care Information Technology|, Health Care Information Technology ,420000.0,operating,USA,1.0,2014-07-04,2014-11-26,2014-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,12.0,145.0,0.0,420000.0,1,1,0
|Analytics|, Analytics ,1250000.0,acquired,USA,2.0,2011-09-16,2011-11-02,2011-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,47.0,28.0,625000.0,0,1,1
|Software|, Software ,35000000.0,operating,USA,1.0,2000-01-01,2010-03-08,2010-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,26.0,3719.0,0.0,35000000.0,1,0,1
|Fashion|, Fashion ,,operating,CAN,1.0,2014-08-12,2014-08-12,2014-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,12.0,0.0,0.0,,1,0,0
|Curated Web|, Curated Web ,50000.0,closed,USA,1.0,2009-04-01,2009-04-01,2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17.0,0.0,0.0,50000.0,1,1,0
|Social Commerce|E-Commerce|Mobile Commerce|, Mobile Commerce ,1600000.0,operating,missing,2.0,2013-07-08,2013-10-31,2014-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,13.0,115.0,189.0,800000.0,0,1,0
|Mobility|Enterprise Software|Software|, Mobility ,100000.0,operating,AUS,1.0,2009-07-01,2010-07-01,2010-07-01,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0,0,0,17.0,365.0,0.0,100000.0,1,0,0
|Electronics|Batteries|Energy|, Electronics ,,operating,USA,1.0,,2014-02-01,2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,,1,0,0
|Biotechnology|, Biotechnology ,3000000.0,operating,USA,1.0,2012-01-01,2012-11-07,2012-11-07,0.0,0.0,0.0,3000000.0,0.0,0.0,0.0,0,0,0,14.0,311.0,0.0,3000000.0,1,0,0
|Software|, Software ,77500.0,operating,USA,1.0,2010-01-01,2011-10-12,2011-10-12,0.0,0.0,0.0,77500.0,0.0,0.0,0.0,0,0,0,16.0,649.0,0.0,77500.0,1,0,0
|Education|, Education ,,operating,missing,1.0,,2011-11-01,2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,,,0.0,,1,0,0
|Social Travel|, Social Travel ,20000000.0,operating,CHN,1.0,2011-10-01,2014-04-28,2014-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,940.0,0.0,20000000.0,1,3,1
|Enterprise Software|, Enterprise Software ,1800000.0,operating,USA,1.0,,2011-03-22,2011-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,1800000.0,1,0,1
|Personal Health|Health and Wellness|, Personal Health ,,operating,missing,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,,,,,0,0,0
|Sports|, Sports ,,operating,missing,1.0,2013-07-17,2013-10-17,2013-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,13.0,92.0,0.0,,1,0,0
|Sports|, Sports ,,operating,USA,1.0,2013-01-01,2014-02-20,2014-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,13.0,415.0,0.0,,1,0,0
|Real Estate|, Real Estate ,,operating,USA,1.0,2011-04-12,2014-09-03,2014-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,1240.0,0.0,,1,0,0
|Audio|Music|Mobile|, Mobile ,270000.0,operating,AUS,2.0,2012-02-01,2012-05-01,2012-11-13,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0,0,0,14.0,90.0,196.0,135000.0,0,1,0
|Politics|Technology|Medical Devices|Pharmaceuticals|Personalization|Software|, Pharmaceuticals ,794000.0,operating,USA,6.0,2011-10-07,2012-02-06,2014-01-01,0.0,0.0,0.0,0.0,500000.0,225000.0,0.0,0,0,0,15.0,122.0,695.0,132333.33333333334,0,1,0
|Small and Medium Businesses|Education|Analytics|Internet Marketing|Business Services|Advertising|E-Commerce|, Advertising ,650267.0,operating,missing,2.0,2012-01-01,2012-09-01,2013-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,14.0,244.0,447.0,325133.5,0,1,1
|SaaS|E-Commerce|, SaaS ,,operating,ROM,1.0,2008-01-01,2010-01-01,2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18.0,731.0,0.0,,1,0,0
|Software|, Software ,378812.0,operating,GBR,1.0,2013-01-01,2014-03-18,2014-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,13.0,441.0,0.0,378812.0,1,1,0
missing,missing,130636.0,operating,FRA,1.0,2008-01-01,2012-03-15,2012-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,18.0,1535.0,0.0,130636.0,1,1,0
|SaaS|Software|Retail|, Software ,619494.0,operating,NLD,1.0,2010-12-10,2012-06-01,2012-06-01,0.0,0.0,0.0,0.0,619494.0,0.0,0.0,0,0,0,16.0,539.0,0.0,619494.0,1,0,0
|E-Commerce|, E-Commerce ,,acquired,USA,1.0,2012-01-01,2012-04-05,2012-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,95.0,0.0,,1,0,0
|Manufacturing|, Manufacturing ,66450000.0,operating,USA,8.0,2007-01-01,2008-03-27,2013-12-12,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0,0,0,0,19.0,451.0,2086.0,8306250.0,0,3,1
|E-Commerce|, E-Commerce ,,operating,CHN,1.0,,2007-02-01,2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,,1,0,0
